year_month,monthly_revenue,revenue_change,growth_percentage
2010-01,46376.49,,
2010-02,47316.53,940.040000000001,2.03
2010-03,23921.71,-23394.82,-49.44
2010-05,31771.6,7849.89,32.81
2010-06,31215.64,-555.959999999999,-1.75
2010-07,53795.31,22579.67,72.33
2010-08,39248.82,-14546.49,-27.04
2010-09,38231.9,-1016.92,-2.59
2010-10,33650.28,-4581.62,-11.98
2010-12,17305.77,-16344.51,-48.57
2011-01,239994.38,222688.61,1286.79
2011-02,209542.22,-30452.16,-12.69
2011-03,261508.44,51966.22,24.8
2011-04,329347.22,67838.78,25.94
2011-05,322262.21,-7085.00999999995,-2.15
2011-06,305544.2,-16718.01,-5.19
2011-07,322993.67,17449.47,5.71
2011-08,257498.63,-65495.04,-20.28
2011-09,421984.18,164485.55,63.88
2011-10,291455.9,-130528.28,-30.93
2011-11,345332.09,53876.19,18.49
2011-12,205190.8,-140141.29,-40.58
